#,Company,Symbol,Weight,Price,Chg,% Chg
254,AvalonBay Communities Inc.,AVB,0.0823,202.05,-2.53,(-1.24%)
255,Albemarle Corporation,ALB,0.082195,251.00,7.11,(2.92%)
256,Ross Stores Inc.,ROST,0.081948,84.58,4.75,(5.95%)
257,Discover Financial Services,DFS,0.081614,101.77,1.61,(1.61%)
258,American Water Works Company Inc.,AWK,0.081328,157.65,2.17,(1.40%)
259,T. Rowe Price Group,TROW,0.081318,126.50,3.86,(3.15%)
260,Walgreens Boots Alliance Inc.,WBA,0.080775,39.19,0.14,(0.36%)
261,Corning Inc,GLW,0.079607,36.49,0.38,(1.05%)
262,Old Dominion Freight Line Inc.,ODFL,0.079529,291.90,-2.26,(-0.77%)
263,Copart Inc.,CPRT,0.07889,130.50,2.41,(1.88%)
264,eBay Inc.,EBAY,0.078631,50.79,2.36,(4.87%)
265,CBRE Group Inc. Class A,CBRE,0.078017,83.60,1.30,(1.58%)
266,Weyerhaeuser Company,WY,0.077494,35.30,-0.57,(-1.59%)
267,Arista Networks Inc.,ANET,0.07585,121.53,4.39,(3.75%)
268,Kraft Heinz Company,KHC,0.075809,37.20,0.11,(0.30%)
269,ONEOK Inc.,OKE,0.075529,59.03,0.22,(0.37%)
270,Edison International,EIX,0.075074,69.30,0.68,(0.99%)
271,Tyson Foods Inc. Class A,TSN,0.07436,86.70,-0.81,(-0.93%)
272,Halliburton Company,HAL,0.074327,28.48,-0.12,(-0.42%)
273,Equity Residential,EQR,0.074152,75.40,-0.13,(-0.17%)
274,State Street Corporation,STT,0.072929,71.02,1.80,(2.60%)
275,DTE Energy Company,DTE,0.072536,130.42,0.52,(0.40%)
276,Equifax Inc.,EFX,0.072405,213.01,6.70,(3.25%)
277,West Pharmaceutical Services Inc.,WST,0.072241,343.65,4.55,(1.34%)
278,Extra Space Storage Inc.,EXR,0.072115,194.30,7.30,(3.90%)
279,CDW Corp.,CDW,0.070622,181.88,1.55,(0.86%)
280,D.R. Horton Inc.,DHI,0.069666,74.22,0.06,(0.08%)
281,ANSYS Inc.,ANSS,0.069301,288.94,12.84,(4.65%)
282,Baker Hughes Company Class A,BKR,0.068954,25.50,0.08,(0.31%)
283,Gartner Inc.,IT,0.068864,288.26,-1.43,(-0.49%)
284,Alexandria Real Estate Equities Inc.,ARE,0.068773,159.07,-0.60,(-0.38%)
285,Coterra Energy Inc.,CTRA,0.068768,28.60,-0.78,(-2.65%)
286,Ameren Corporation,AEE,0.068674,92.30,-0.23,(-0.25%)
287,Zimmer Biomet Holdings Inc.,ZBH,0.068615,116.02,1.96,(1.72%)
288,W.W. Grainger Inc.,GWW,0.068202,543.02,2.77,(0.51%)
289,Laboratory Corporation of America Holdings,LH,0.067995,252.78,0.29,(0.11%)
290,Entergy Corporation,ETR,0.067893,117.16,2.05,(1.78%)
291,Ball Corporation,BALL,0.067598,72.81,1.02,(1.42%)
292,SVB Financial Group,SIVB,0.067576,413.40,13.21,(3.30%)
293,Duke Realty Corporation,DRE,0.067291,61.80,0.70,(1.15%)
294,Fifth Third Bancorp,FITB,0.066464,34.31,0.62,(1.84%)
295,Willis Towers Watson Public Limited Company,WTW,0.066448,208.32,2.80,(1.36%)
296,Fortive Corp.,FTV,0.066263,65.75,1.58,(2.46%)
297,United Rentals Inc.,URI,0.065482,317.66,3.56,(1.13%)
298,FirstEnergy Corp.,FE,0.06544,39.31,-0.37,(-0.93%)
299,LyondellBasell Industries NV,LYB,0.065011,85.65,0.18,(0.21%)
300,STERIS Plc,STE,0.065005,203.00,-21.44,(-9.55%)
301,Southwest Airlines Co.,LUV,0.064135,38.90,1.28,(3.40%)
302,McCormick & Company Incorporated,MKC,0.063432,87.40,-0.97,(-1.10%)
303,Monolithic Power Systems Inc.,MPWR,0.063364,524.48,18.76,(3.71%)
304,Martin Marietta Materials Inc.,MLM,0.06336,355.39,2.95,(0.84%)
305,PPL Corporation,PPL,0.063159,28.78,-0.32,(-1.10%)
306,Vulcan Materials Company,VMC,0.06269,165.41,1.43,(0.87%)
307,Match Group Inc.,MTCH,0.062673,63.49,-13.22,(-17.23%)
308,Diamondback Energy Inc.,FANG,0.062567,121.50,-6.04,(-4.74%)
309,Genuine Parts Company,GPC,0.062227,151.03,0.27,(0.18%)
310,AmerisourceBergen Corporation,ABC,0.0622,133.95,-8.86,(-6.20%)
311,Tractor Supply Company,TSCO,0.0621,192.21,3.81,(2.02%)
312,Lennar Corporation Class A,LEN,0.062002,82.56,0.56,(0.68%)
313,Constellation Energy Corporation,CEG,0.061837,67.45,1.61,(2.45%)
314,Church & Dwight Co. Inc.,CHD,0.061337,86.40,-0.66,(-0.76%)
315,Hartford Financial Services Group Inc.,HIG,0.061004,63.45,0.49,(0.78%)
316,Waters Corporation,WAT,0.060225,338.88,-1.67,(-0.49%)
317,Ventas Inc.,VTR,0.060107,51.41,-0.75,(-1.44%)
318,Nasdaq Inc.,NDAQ,0.059842,179.87,1.18,(0.66%)
319,EPAM Systems Inc.,EPAM,0.059654,372.00,7.67,(2.11%)
320,Align Technology Inc.,ALGN,0.059546,285.70,4.47,(1.59%)
321,Ulta Beauty Inc.,ULTA,0.05951,374.30,-18.60,(-4.73%)
322,Mid-America Apartment Communities Inc.,MAA,0.059399,180.84,1.93,(1.08%)
323,CF Industries Holdings Inc.,CF,0.059392,96.92,-1.25,(-1.27%)
324,Northern Trust Corporation,NTRS,0.059124,101.67,3.21,(3.26%)
325,SolarEdge Technologies Inc.,SEDG,0.058685,295.80,-69.61,(-19.05%)
326,Delta Air Lines Inc.,DAL,0.05867,33.18,1.36,(4.27%)
327,Take-Two Interactive Software Inc.,TTWO,0.057872,129.90,3.24,(2.56%)
328,CMS Energy Corporation,CMS,0.057698,69.34,0.44,(0.64%)
329,Catalent Inc,CTLT,0.057698,109.10,-2.29,(-2.06%)
330,CenterPoint Energy Inc.,CNP,0.057561,31.69,-0.01,(-0.03%)
331,Regions Financial Corporation,RF,0.057069,21.15,0.32,(1.54%)
332,Quanta Services Inc.,PWR,0.056996,138.00,-0.31,(-0.22%)
333,Ingersoll Rand Inc.,IR,0.056848,49.89,1.19,(2.44%)
334,PerkinElmer Inc.,PKI,0.056163,154.23,0.13,(0.08%)
335,Mosaic Company,MOS,0.055859,53.50,1.28,(2.45%)
336,Amcor PLC,AMCR,0.055787,12.72,-0.03,(-0.24%)
337,Molina Healthcare Inc.,MOH,0.055381,328.06,1.02,(0.31%)
338,Raymond James Financial Inc.,RJF,0.055254,100.11,2.10,(2.14%)
339,Huntington Bancshares Incorporated,HBAN,0.055151,13.44,0.23,(1.74%)
340,Broadridge Financial Solutions Inc.,BR,0.054616,165.20,1.92,(1.18%)
341,Dover Corporation,DOV,0.054385,133.17,2.04,(1.56%)
342,VeriSign Inc.,VRSN,0.054171,195.54,2.43,(1.26%)
343,Kellogg Company,K,0.054068,74.39,0.52,(0.70%)
344,Hewlett Packard Enterprise Co.,HPE,0.053339,14.19,0.02,(0.14%)
345,Teledyne Technologies Incorporated,TDY,0.052709,399.35,7.86,(2.01%)
346,Citizens Financial Group Inc.,CFG,0.052547,37.28,0.55,(1.50%)
347,Hologic Inc.,HOLX,0.052121,72.26,0.79,(1.11%)
348,Essex Property Trust Inc.,ESS,0.051865,275.47,-1.40,(-0.51%)
349,Skyworks Solutions Inc.,SWKS,0.051483,111.00,2.87,(2.65%)
350,Clorox Company,CLX,0.050881,136.20,-7.59,(-5.28%)
351,Expeditors International of Washington Inc.,EXPD,0.050055,102.78,0.53,(0.52%)
352,FLEETCOR Technologies Inc.,FLT,0.050019,219.00,-4.02,(-1.80%)
353,Zebra Technologies Corporation Class A,ZBRA,0.049767,325.75,2.43,(0.75%)
354,Westinghouse Air Brake Technologies Corporation,WAB,0.04976,92.44,1.17,(1.28%)
355,Trimble Inc.,TRMB,0.049693,69.73,1.18,(1.72%)
356,Xylem Inc.,XYL,0.049519,98.13,2.76,(2.89%)
357,Marathon Oil Corporation,MRO,0.049012,22.80,-1.08,(-4.52%)
358,Generac Holdings Inc.,GNRC,0.048471,249.30,-17.35,(-6.51%)
359,Atmos Energy Corporation,ATO,0.048421,119.28,-0.82,(-0.68%)
360,Cardinal Health Inc.,CAH,0.048346,61.00,1.24,(2.07%)
361,KeyCorp,KEY,0.048299,18.11,0.13,(0.72%)
362,Jacobs Engineering Group Inc.,J,0.047962,129.33,1.54,(1.21%)
363,Synchrony Financial,SYF,0.047734,34.08,1.26,(3.84%)
364,Tyler Technologies Inc.,TYL,0.047255,411.74,10.47,(2.61%)
365,Conagra Brands Inc.,CAG,0.047221,34.30,0.18,(0.53%)
366,Quest Diagnostics Incorporated,DGX,0.047062,137.93,1.23,(0.90%)
367,Paycom Software Inc.,PAYC,0.046799,352.00,14.14,(4.19%)
368,Teradyne Inc.,TER,0.046564,103.38,4.44,(4.49%)
369,CarMax Inc.,KMX,0.046502,99.80,0.78,(0.79%)
370,Darden Restaurants Inc.,DRI,0.046352,126.87,2.73,(2.20%)
371,NetApp Inc.,NTAP,0.046116,72.55,1.18,(1.65%)
372,Cooper Companies Inc.,COO,0.046084,329.14,4.33,(1.33%)
373,FactSet Research Systems Inc.,FDS,0.045962,422.47,1.55,(0.37%)
374,Seagate Technology Holdings PLC,STX,0.045752,80.29,1.28,(1.62%)
375,Avery Dennison Corporation,AVY,0.045512,193.12,2.65,(1.39%)
376,International Paper Company,IP,0.04551,42.61,0.27,(0.64%)
377,IDEX Corporation,IEX,0.045239,209.85,3.23,(1.56%)
378,Expedia Group Inc.,EXPE,0.04513,103.50,-0.39,(-0.38%)
379,Principal Financial Group Inc.,PFG,0.045109,68.74,2.55,(3.85%)
380,Evergy Inc.,EVRG,0.044828,68.37,0.37,(0.54%)
381,Akamai Technologies Inc.,AKAM,0.04452,95.87,1.03,(1.09%)
382,Western Digital Corporation,WDC,0.043866,49.75,1.28,(2.63%)
383,Alliant Energy Corp,LNT,0.043826,61.27,0.48,(0.79%)
384,Best Buy Co. Inc.,BBY,0.043809,75.67,1.06,(1.42%)
385,Jack Henry & Associates Inc.,JKHY,0.043737,208.09,2.50,(1.22%)
386,Bio-Techne Corporation,TECH,0.043381,391.85,4.84,(1.25%)
387,J.B. Hunt Transport Services Inc.,JBHT,0.043307,178.41,-0.29,(-0.16%)
388,LKQ Corporation,LKQ,0.042825,52.39,-2.33,(-4.26%)
389,Paramount Global Class B,PARA,0.042712,25.08,0.61,(2.49%)
390,AES Corporation,AES,0.042682,22.59,0.36,(1.62%)
391,Healthpeak Properties Inc.,PEAK,0.042391,26.94,-0.36,(-1.32%)
392,Brown & Brown Inc.,BRO,0.042346,64.29,1.41,(2.24%)
393,Camden Property Trust,CPT,0.042344,136.77,-0.30,(-0.22%)
394,Garmin Ltd.,GRMN,0.041844,98.81,2.33,(2.41%)
395,J.M. Smucker Company,SJM,0.041827,134.22,0.26,(0.19%)
396,Omnicom Group Inc,OMC,0.041812,70.31,1.15,(1.66%)
397,Domino's Pizza Inc.,DPZ,0.041596,390.91,-0.16,(-0.04%)
398,Pool Corporation,POOL,0.041593,363.11,3.18,(0.88%)
399,NortonLifeLock Inc.,NLOK,0.041499,26.74,1.96,(7.91%)
400,C.H. Robinson Worldwide Inc.,CHRW,0.041424,109.04,0.01,(0.01%)
401,V.F. Corporation,VFC,0.041319,44.77,0.44,(0.99%)
402,Textron Inc.,TXT,0.041271,65.55,0.69,(1.06%)
403,Stanley Black & Decker Inc.,SWK,0.041182,93.50,-0.56,(-0.60%)
404,Cincinnati Financial Corporation,CINF,0.040869,97.05,2.44,(2.58%)
405,Howmet Aerospace Inc.,HWM,0.040807,37.23,0.03,(0.08%)
406,Leidos Holdings Inc.,LDOS,0.040713,99.50,-0.98,(-0.98%)
407,Iron Mountain Inc.,IRM,0.040494,48.08,-0.29,(-0.60%)
408,Hormel Foods Corporation,HRL,0.040271,49.39,0.00,(0.00%)
409,UDR Inc.,UDR,0.040091,46.17,-0.18,(-0.39%)
410,FMC Corporation,FMC,0.039392,109.04,1.54,(1.43%)
411,Incyte Corporation,INCY,0.039366,72.54,-0.04,(-0.06%)
412,Brown-Forman Corporation Class B,BF.B,0.039142,75.90,1.54,(2.07%)
413,ABIOMED Inc.,ABMD,0.038389,301.46,7.83,(2.67%)
414,Etsy Inc.,ETSY,0.038219,108.50,4.06,(3.89%)
415,Kimco Realty Corporation,KIM,0.038114,21.43,0.06,(0.28%)
416,NVR Inc.,NVR,0.038022,"4,279.62",32.82,(0.77%)
417,Las Vegas Sands Corp.,LVS,0.037934,39.01,0.86,(2.25%)
418,Packaging Corporation of America,PKG,0.037809,139.15,1.04,(0.75%)
419,Live Nation Entertainment Inc.,LYV,0.037511,96.75,0.72,(0.75%)
420,W. R. Berkley Corporation,WRB,0.037032,62.14,1.03,(1.69%)
421,Masco Corporation,MAS,0.03695,52.23,-1.00,(-1.88%)
422,PTC Inc.,PTC,0.036803,123.94,3.35,(2.78%)
423,Citrix Systems Inc.,CTXS,0.036408,101.88,-0.07,(-0.07%)
424,Cboe Global Markets Inc,CBOE,0.036147,116.20,-1.44,(-1.22%)
425,Boston Properties Inc.,BXP,0.036036,88.40,0.35,(0.40%)
426,Nordson Corporation,NDSN,0.035719,230.20,2.61,(1.15%)
427,NiSource Inc,NI,0.035423,30.27,0.17,(0.56%)
428,Host Hotels & Resorts Inc.,HST,0.035419,17.30,0.00,(0.00%)
429,Charles River Laboratories International Inc.,CRL,0.035264,223.00,-20.66,(-8.48%)
430,APA Corp.,APA,0.035244,34.39,-1.54,(-4.29%)
431,Advance Auto Parts Inc.,AAP,0.03518,195.27,0.25,(0.13%)
432,Celanese Corporation,CE,0.035022,111.00,-0.45,(-0.40%)
433,Eastman Chemical Company,EMN,0.034784,93.37,0.15,(0.16%)
434,Snap-on Incorporated,SNA,0.034453,223.16,1.54,(0.69%)
435,United Airlines Holdings Inc.,UAL,0.034445,38.51,1.28,(3.44%)
436,Lamb Weston Holdings Inc.,LW,0.034014,81.75,0.39,(0.48%)
437,Bio-Rad Laboratories Inc. Class A,BIO,0.033925,548.55,0.59,(0.11%)
438,MGM Resorts International,MGM,0.033905,34.84,1.78,(5.38%)
439,Viatris Inc.,VTRS,0.033824,9.72,0.01,(0.10%)
440,Teleflex Incorporated,TFX,0.033776,254.97,4.12,(1.64%)
441,Signature Bank,SBNY,0.033574,187.17,2.13,(1.15%)
442,Interpublic Group of Companies Inc.,IPG,0.033333,30.02,0.63,(2.14%)
443,Qorvo Inc.,QRVO,0.03229,103.50,0.53,(0.51%)
444,WestRock Company,WRK,0.03199,42.07,0.29,(0.69%)
445,Loews Corporation,L,0.031381,55.20,-0.14,(-0.25%)
446,Fox Corporation Class A,FOXA,0.030724,34.48,1.28,(3.86%)
447,Henry Schein Inc.,HSIC,0.030401,76.40,0.89,(1.18%)
448,Caesars Entertainment Inc,CZR,0.0304,49.30,0.13,(0.26%)
449,MarketAxess Holdings Inc.,MKTX,0.029761,265.75,-6.04,(-2.22%)
450,Comerica Incorporated,CMA,0.029365,78.09,1.45,(1.89%)
451,Molson Coors Beverage Company Class B,TAP,0.029206,54.17,0.73,(1.37%)
452,Hasbro Inc.,HAS,0.029115,79.06,0.51,(0.65%)
453,Campbell Soup Company,CPB,0.028985,49.02,-0.18,(-0.37%)
454,PulteGroup Inc.,PHM,0.028739,41.86,0.16,(0.38%)
455,Everest Re Group Ltd.,RE,0.028641,253.22,3.94,(1.58%)
456,F5 Inc.,FFIV,0.028639,171.20,5.80,(3.51%)
457,Lumen Technologies Inc.,LUMN,0.028635,10.47,-0.30,(-2.79%)
458,Assurant Inc.,AIZ,0.028235,154.00,-17.57,(-10.24%)
459,Regency Centers Corporation,REG,0.027499,62.43,-0.02,(-0.03%)
460,Whirlpool Corporation,WHR,0.027335,166.14,-1.55,(-0.92%)
461,Fortune Brands Home & Security Inc.,FBHS,0.026905,66.73,-0.90,(-1.33%)
462,BorgWarner Inc.,BWA,0.026752,40.00,1.44,(3.73%)
463,Allegion Public Limited Company,ALLE,0.026566,103.53,0.79,(0.77%)
464,NRG Energy Inc.,NRG,0.026492,37.37,0.09,(0.24%)
465,Carnival Corporation,CCL,0.026447,9.73,0.38,(4.07%)
466,Globe Life Inc.,GL,0.026392,98.98,1.16,(1.19%)
467,American Airlines Group Inc.,AAL,0.026195,14.55,0.49,(3.49%)
468,Juniper Networks Inc.,JNPR,0.025964,27.27,-0.44,(-1.59%)
469,Bath & Body Works Inc.,BBWI,0.025604,39.31,2.29,(6.19%)
470,Tapestry Inc.,TPR,0.025218,33.83,0.83,(2.52%)
471,Huntington Ingalls Industries Inc.,HII,0.025144,218.69,1.22,(0.56%)
472,Robert Half International Inc.,RHI,0.024996,80.18,2.18,(2.79%)
473,Nielsen Holdings Plc,NLSN,0.024915,22.50,-1.49,(-6.21%)
474,Rollins Inc.,ROL,0.024756,38.26,-0.27,(-0.70%)
475,Lincoln National Corporation,LNC,0.024632,50.95,0.74,(1.47%)
476,Sealed Air Corporation,SEE,0.024282,56.45,0.28,(0.50%)
477,Pinnacle West Capital Corporation,PNW,0.024121,75.27,1.50,(2.03%)
478,Royal Caribbean Group,RCL,0.023776,38.80,2.14,(5.84%)
479,Organon & Co.,OGN,0.023324,32.36,0.59,(1.86%)
480,Zions Bancorporation N.A.,ZION,0.023289,53.96,0.86,(1.62%)
481,A. O. Smith Corporation,AOS,0.023217,61.48,1.01,(1.67%)
482,Pentair plc,PNR,0.022972,49.00,0.92,(1.91%)
483,DENTSPLY SIRONA Inc.,XRAY,0.022399,37.07,1.50,(4.22%)
484,DXC Technology Co.,DXC,0.022349,29.75,-1.37,(-4.40%)
485,Newell Brands Inc,NWL,0.021733,20.37,0.57,(2.88%)
486,Franklin Resources Inc.,BEN,0.02168,28.10,0.72,(2.63%)
487,Ceridian HCM Holding Inc.,CDAY,0.021471,58.78,3.51,(6.35%)
488,Universal Health Services Inc. Class B,UHS,0.021395,111.16,1.24,(1.13%)
489,Federal Realty Investment Trust,FRT,0.021021,104.17,0.06,(0.06%)
490,Wynn Resorts Limited,WYNN,0.019676,67.00,2.59,(4.02%)
491,News Corporation Class A,NWSA,0.019301,17.21,0.21,(1.24%)
492,Mohawk Industries Inc.,MHK,0.017922,120.16,0.13,(0.11%)
493,Invesco Ltd.,IVZ,0.017378,17.90,0.24,(1.36%)
494,Penn National Gaming Inc.,PENN,0.017348,36.88,0.71,(1.96%)
495,Alaska Air Group Inc.,ALK,0.016034,46.30,1.80,(4.04%)
496,DaVita Inc.,DVA,0.015413,86.00,-0.45,(-0.52%)
497,Norwegian Cruise Line Holdings Ltd.,NCLH,0.015035,12.94,0.47,(3.77%)
498,Vornado Realty Trust,VNO,0.013362,29.62,0.27,(0.92%)
499,Fox Corporation Class B,FOX,0.013224,31.29,0.36,(1.16%)
500,Ralph Lauren Corporation Class A,RL,0.013053,99.00,4.03,(4.24%)
501,PVH Corp.,PVH,0.012641,62.92,1.72,(2.81%)
502,DISH Network Corporation Class A,DISH,0.0123,18.12,0.99,(5.78%)
503,News Corporation Class B,NWS,0.006125,17.72,0.52,(3.02%)
504,Embecta Corporation,EMBC,0.000005,29.87,-0.39,(-1.29%)
